word	lemma	method
олды	олды	lem
лар	лар	lem
тасиль	тасиль	lem
журналында	журналында	lem
сен	сен	lem
ичюп	ичюп	lem
бала	бала	lem
ишлери	ишлери	lem
кере	кере	lem
косьтере	косьтере	lem
дуа	дуа	lem
дан	дан	lem
бутюи	бутюи	lem
лери	лери	lem
сефер	сефер	lem
яшап	яшап	lem
эсерлерп	эсерлерп	lem
биле	биле	lem
олмагъан	олмагъан	lem
анда	анда	lem
qaqmaq	qaqmaq	lem
що	що	lem
кечкен	кечкен	lem
яратыджылыгъыпы	яратыджылыгъыпы	lem
ич	ич	lem
эдебпяты	эдебпяты	lem
жанрлары	жанрлары	lem
на	на	lem
кунь	кунь	lem
баш	баш	lem
тез	тез	lem
вакъытта	вакъытта	lem
багълы	багълы	lem
эсерлеринде	эсерлеринде	lem
энъ	энъ	lem
тутып	тутып	lem
ильмий	ильмий	lem
халкъкъа	халкъкъа	lem
бойле	бойле	lem
къыз	къыз	lem
як	як	lem
йымыртасыны	йымыртасыны	lem
акъкъында	акъкъында	lem
масалджы	масалджы	lem
кельди	кельди	lem
эмекдар	эмекдар	lem
балаларымызгъа	балаларымызгъа	lem
этмек	этмек	lem
азырлап	азырлап	lem
сыкъы	сыкъы	lem
бакъа	бакъа	lem
халкъныпъ	халкъныпъ	lem
къушнынъ	къушнынъ	lem
н	н	lem
аят	аят	lem
къыймет	къыймет	lem
къалды	къалды	lem
коюнде	коюнде	lem
къозлай	къозлай	lem
кпбп	кпбп	lem
арзу	арзу	lem
сенеси	сенеси	lem
иджады	иджады	lem
ильк	ильк	lem
зияде	зияде	lem
базы	базы	lem
теш	теш	lem
энди	энди	lem
адалет	адалет	lem
олмасыны	олмасыны	lem
qız	qız	lem
аз	аз	lem
шахсларнынъ	шахсларнынъ	lem
da	da	lem
нешрияты	нешрияты	lem
къошулгъан	къошулгъан	lem
сы	сы	lem
такъдим	такъдим	lem
це	це	lem
иуза	иуза	lem
пейда	пейда	lem
нынъ	нынъ	lem
этмеге	этмеге	lem
тплп	тплп	lem
ь	ь	lem
кра	кра	lem
мають	мають	lem
тургъан	тургъан	lem
къарай	къарай	lem
этильди	этильди	lem
без	без	lem
студентлери	студентлери	lem
грома	грома	lem
дянства	дянства	lem
граждан	граждан	lem
лыгъы	лыгъы	lem
дегиль	дегиль	lem
також	також	lem
багълыдыр	багълыдыр	lem
тюбюнде	тюбюнде	lem
виникнення	виникнення	lem
мумкюп	мумкюп	lem
qapınıñ	qapınıñ	lem
деген	деген	lem
тевсие	тевсие	lem
укладач	укладач	lem
de	de	lem
неширге	неширге	lem
къапы	къапы	lem
şemsiye	şemsiye	lem
эви	эви	lem
топлав	топлав	lem
сакълап	сакълап	lem
бердинъ	бердинъ	lem
дердж	дердж	lem
сенесп	сенесп	lem
этейик	этейик	lem
жанрлар	жанрлар	lem
къаршы	къаршы	lem
кимерде	кимерде	lem
ёкътыр	ёкътыр	lem
сизге	сизге	lem
бизге	бизге	lem
акъкъыида	акъкъыида	lem
бериле	бериле	lem
сайысыны	сайысыны	lem
эк	эк	lem
варианты	варианты	lem
эдп	эдп	lem
тас	тас	lem
эфенди	эфенди	lem
дженктен	дженктен	lem
кулътура	кулътура	lem
эвелъ	эвелъ	lem
районы	районы	lem
огълу	огълу	lem
этилъген	этилъген	lem
огренювде	огренювде	lem
малик	малик	lem
китап	китап	lem
джыйынтыкълардан	джыйынтыкълардан	lem
аджайпп	аджайпп	lem
деди	деди	lem
ерли	ерли	lem
хызмет	хызмет	lem
kene	kene	lem
нен	нен	lem
текаран	текаран	lem
чекип	чекип	lem
эсерлерииде	эсерлерииде	lem
аталар	аталар	lem
дюльбер	дюльбер	lem
джанавар	джанавар	lem
топланып	топланып	lem
шукюрлер	шукюрлер	lem
лейхасы	лейхасы	lem
аш	аш	lem
ортаджа	ортаджа	lem
келеджекке	келеджекке	lem
кельгенде	кельгенде	lem
кутюпханенинъ	кутюпханенинъ	lem
ант	ант	lem
атеш	атеш	lem
адлы	адлы	lem
факъыр	факъыр	lem
чыкъты	чыкъты	lem
ичинде	ичинде	lem
бпрге	бпрге	lem
мында	мында	lem
пшп	пшп	lem
гольге	гольге	lem
къушлары	къушлары	lem
иле	иле	lem
ханларнынъ	ханларнынъ	lem
берабер	берабер	lem
топ	топ	lem
бакъты	бакъты	lem
вс	вс	lem
баягъы	баягъы	lem
кельгеи	кельгеи	lem
халкълар	халкълар	lem
шейни	шейни	lem
чюпки	чюпки	lem
къангъы	къангъы	lem
масаллар	масаллар	lem
келелер	келелер	lem
гъает	гъает	lem
бакъмазсынъ	бакъмазсынъ	lem
кучь	кучь	lem
за	за	lem
берир	берир	lem
гизли	гизли	lem
йымыртасьгаы	йымыртасьгаы	lem
тюрлю	тюрлю	lem
ёл	ёл	lem
хас	хас	lem
ер	ер	lem
мунасебетлери	мунасебетлери	lem
яратыл	яратыл	lem
джевап	джевап	lem
падишасы	падишасы	lem
meni	meni	lem
бнр	бнр	lem
малпк	малпк	lem
тек	тек	lem
пыпъ	пыпъ	lem
онле	онле	lem
алмакъ	алмакъ	lem
бара	бара	lem
эмекдарлар	эмекдарлар	lem
тесирп	тесирп	lem
экенлер	экенлер	lem
сенинъ	сенинъ	lem
во	во	lem
ат	ат	lem
тюшюнди	тюшюнди	lem
эттпрпп	эттпрпп	lem
табпат	табпат	lem
ярата	ярата	lem
меджбур	меджбур	lem
айтам	айтам	lem
gizli	gizli	lem
чешит	чешит	lem
чыкъ	чыкъ	lem
джибере	джибере	lem
къушларнынъ	къушларнынъ	lem
бере	бере	lem
ёлгъа	ёлгъа	lem
ачты	ачты	lem
айры	айры	lem
торгъайлар	торгъайлар	lem
дейлер	дейлер	lem
анги	анги	lem
адий	адий	lem
берип	берип	lem
олгъаи	олгъаи	lem
ачылып	ачылып	lem
башлай	башлай	lem
ойле	ойле	lem
яшайышыпы	яшайышыпы	lem
къа	къа	lem
терекнинъ	терекнинъ	lem
гъайып	гъайып	lem
къарт	къарт	lem
япкъан	япкъан	lem
тёпесине	тёпесине	lem
халкъпыпъ	халкъпыпъ	lem
арасы	арасы	lem
олуна	олуна	lem
гузель	гузель	lem
яратыджылыгъынынъ	яратыджылыгъынынъ	lem
эсер	эсер	lem
м	м	lem
içeri	içeri	lem
ала	ала	lem
халкънынъ	халкънынъ	lem
эчки	эчки	lem
кечти	кечти	lem
толу	толу	lem
гро	гро	lem
amma	amma	lem
тасвирлеп	тасвирлеп	lem
ма	ма	lem
при	при	lem
корьген	корьген	lem
агъыр	агъыр	lem
сёз	сёз	lem
бирликте	бирликте	lem
кедилер	кедилер	lem
чынълар	чынълар	lem
мумкюн	мумкюн	lem
лары	лары	lem
башлап	башлап	lem
ачынъыз	ачынъыз	lem
çıqarım	çıqarım	lem
барып	барып	lem
янында	янында	lem
ziyade	ziyade	lem
баланы	баланы	lem
совет	совет	lem
алейкум	алейкум	lem
апда	апда	lem
айнынъ	айнынъ	lem
кемирип	кемирип	lem
учып	учып	lem
окъуладжакъ	окъуладжакъ	lem
башлады	башлады	lem
бири	бири	lem
язылгъан	язылгъан	lem
ашап	ашап	lem
men	men	lem
беллп	беллп	lem
ичюи	ичюи	lem
озьлерп	озьлерп	lem
qıçırdı	qıçırdı	lem
бакъып	бакъып	lem
фикир	фикир	lem
озюпе	озюпе	lem
ибадет	ибадет	lem
къакъмакъ	къакъмакъ	lem
soñra	soñra	lem
косьтеринъиз	косьтеринъиз	lem
qaqa	qaqa	lem
ince	ince	lem
балам	балам	lem
дагъгъа	дагъгъа	lem
ще	ще	lem
гъан	гъан	lem
масалыны	масалыны	lem
оларныпъ	оларныпъ	lem
köstere	köstere	lem
ичери	ичери	lem
яшагъан	яшагъан	lem
джоялар	джоялар	lem
коре	коре	lem
севе	севе	lem
экбер	экбер	lem
edim	edim	lem
язы	язы	lem
япъы	япъы	lem
ярдымджы	ярдымджы	lem
ге	ге	lem
ашыкъ	ашыкъ	lem
отура	отура	lem
акъшам	акъшам	lem
отурды	отурды	lem
шай	шай	lem
онда	онда	lem
шейден	шейден	lem
юджедир	юджедир	lem
иляхе	иляхе	lem
fikus	fikus	lem
еще	еще	lem
къайтып	къайтып	lem
танъры	танъры	lem
фольклоргъа	фольклоргъа	lem
денъишмелерпи	денъишмелерпи	lem
иште	иште	lem
ады	ады	lem
олмакъ	олмакъ	lem
умумен	умумен	lem
десенъ	десенъ	lem
образ	образ	lem
юксск	юксск	lem
фукъарешшъ	фукъарешшъ	lem
менфааты	менфааты	lem
сыныфларгъа	сыныфларгъа	lem
къапынынъ	къапынынъ	lem
лилд	лилд	lem
шмльи	шмльи	lem
дуйгъулары	дуйгъулары	lem
эннси	эннси	lem
сычанлары	сычанлары	lem
мени	мени	lem
юва	юва	lem
къыш	къыш	lem
артында	артында	lem
кирип	кирип	lem
чокътан	чокътан	lem
ери	ери	lem
эсерлерппде	эсерлерппде	lem
тилимизде	тилимизде	lem
эиъ	эиъ	lem
сёзлери	сёзлери	lem
кетелер	кетелер	lem
китапларнынъ	китапларнынъ	lem
йыллар	йыллар	lem
китапларны	китапларны	lem
биринде	биринде	lem
эмиетлидир	эмиетлидир	lem
чыкъарувда	чыкъарувда	lem
муф	муф	lem
биз	биз	lem
опынъ	опынъ	lem
ашы	ашы	lem
тиятымыз	тиятымыз	lem
фаалиет	фаалиет	lem
костермекте	костермекте	lem
сайы	сайы	lem
iç	iç	lem
йырлар	йырлар	lem
макъ	макъ	lem
йымшакъ	йымшакъ	lem
чокълашкъаны	чокълашкъаны	lem
къувандыра	къувандыра	lem
элинъиздеки	элинъиздеки	lem
бирдир	бирдир	lem
бабаларгъа	бабаларгъа	lem
динимизни	динимизни	lem
сычанлар	сычанлар	lem
аятыида	аятыида	lem
дане	дане	lem
тилимизни	тилимизни	lem
адетлеримизни	адетлеримизни	lem
тиклевге	тиклевге	lem
te	te	lem
кетирмек	кетирмек	lem
эмекдарларныиъ	эмекдарларныиъ	lem
ватандашларымызнынъ	ватандашларымызнынъ	lem
щ	щ	lem
олгъап	олгъап	lem
имкяны	имкяны	lem
вакъты	вакъты	lem
талабыны	талабыны	lem
peyda	peyda	lem
тт	тт	lem
китапны	китапны	lem
экенмиз	экенмиз	lem
дин	дин	lem
ватанымызда	ватанымызда	lem
адетлеримизнинъ	адетлеримизнинъ	lem
этмекте	этмекте	lem
сакълана	сакълана	lem
o	o	lem
аякълылар	аякълылар	lem
тарафындан	тарафындан	lem
викъатына	викъатына	lem
иссе	иссе	lem
оладжагъына	оладжагъына	lem
ишанамыз	ишанамыз	lem
учащихся	учащихся	lem
косьтерген	косьтерген	lem
этемиз	этемиз	lem
узун	узун	lem
олур	олур	lem
саде	саде	lem
огренмек	огренмек	lem
дж	дж	lem
ишлерге	ишлерге	lem
къолтуткъан	къолтуткъан	lem
тешкилятына	тешкилятына	lem
фольклорнынъ	фольклорнынъ	lem
акъкъыпда	акъкъыпда	lem
ишленилыен	ишленилыен	lem
нияз	нияз	lem
тили	тили	lem
факулътетп	факулътетп	lem
мусульманларынынъ	мусульманларынынъ	lem
муфтиси	муфтиси	lem
лукъая	лукъая	lem
никя	никя	lem
болюгппипъ	болюгппипъ	lem
вдвт	вдвт	lem
сербест	сербест	lem
кетти	кетти	lem
эль	эль	lem
министрлиги	министрлиги	lem
тасдыкълады	тасдыкълады	lem
отнынъ	отнынъ	lem
халкъыныиъ	халкъыныиъ	lem
уе	уе	lem
акъкъан	акъкъан	lem
оларгъа	оларгъа	lem
оныиъ	оныиъ	lem
дюнья	дюнья	lem
яйын	яйын	lem
азырлады	азырлады	lem
бер	бер	lem
синде	синде	lem
birden	birden	lem
материалны	материалны	lem
шаир	шаир	lem
сыныф	сыныф	lem
рахунок	рахунок	lem
державних	державних	lem
заборонено	заборонено	lem
къайдан	къайдан	lem
ярдымы	ярдымы	lem
сюргюнликке	сюргюнликке	lem
миллетлернинъ	миллетлернинъ	lem
огърагъан	огърагъан	lem
гражданлар	гражданлар	lem
джумхуриет	джумхуриет	lem
комитетининъ	комитетининъ	lem
малиевий	малиевий	lem
генлери	генлери	lem
щы	щы	lem
бильдиремиз	бильдиремиз	lem
тешеккюр	тешеккюр	lem
фукъаре	фукъаре	lem
иллл	иллл	lem
азт	азт	lem
иляллахех	иляллахех	lem
илим	илим	lem
халкъпыиъ	халкъпыиъ	lem
пам	пам	lem
назирлигининъ	назирлигининъ	lem
планы	планы	lem
басылды	басылды	lem
асыл	асыл	lem
бильген	бильген	lem
справах	справах	lem
kete	kete	lem
нджи	нджи	lem
ишленильген	ишленильген	lem
къазапгъан	къазапгъан	lem
сапьат	сапьат	lem
эрбабы	эрбабы	lem
сот	сот	lem
гуманн	гуманн	lem
тарна	тарна	lem
покликана	покликана	lem
захи	захи	lem
щати	щати	lem
допомагати	допомагати	lem
усьо	усьо	lem
тилинде	тилинде	lem
будь	будь	lem
свою	свою	lem
оламай	оламай	lem
фнлологпя	фнлологпя	lem
плпмлерп	плпмлерп	lem
капдпдаты	капдпдаты	lem
кнби	кнби	lem
оларпыпъ	оларпыпъ	lem
мыр	мыр	lem
можуть	можуть	lem
цим	цим	lem
зв	зв	lem
язку	язку	lem
язала	язала	lem
шемсие	шемсие	lem
тел	тел	lem
залишили	залишили	lem
ну	ну	lem
примусу	примусу	lem
чис	чис	lem
ленних	ленних	lem
причин	причин	lem
силу	силу	lem
яких	яких	lem
опиняються	опиняються	lem
рол	рол	lem
голов	голов	lem
виникають	виникають	lem
результап	результап	lem
етнмного	етнмного	lem
напруження	напруження	lem
неральна	неральна	lem
зо	зо	lem
бов	бов	lem
займатися	займатися	lem
пи	пи	lem
таннями	таннями	lem
громадянства	громадянства	lem
громадян	громадян	lem
ства	ства	lem
користуватися	користуватися	lem
пра	пра	lem
вами	вами	lem
громадянина	громадянина	lem
нетиджесинде	нетиджесинде	lem
üç	üç	lem
гъа	гъа	lem
макъсадынен	макъсадынен	lem
икг	икг	lem
джиандаки	джиандаки	lem
чакъларны	чакъларны	lem
къорчаламакъ	къорчаламакъ	lem
мей	мей	lem
дангъа	дангъа	lem
кетирильген	кетирильген	lem
гуманитар	гуманитар	lem
киляттыр	киляттыр	lem
терк	терк	lem
файдаланып	файдаланып	lem
тута	тута	lem
шахслар	шахслар	lem
олгъаныны	олгъаныны	lem
апайы	апайы	lem
був	був	lem
усна	усна	lem
народна	народна	lem
птувчн	птувчн	lem
пешрняты	пешрняты	lem
мемлекетле	мемлекетле	lem
рини	рини	lem
зорбалыкъ	зорбалыкъ	lem
адамлардыр	адамлардыр	lem
къачакъларгъа	къачакъларгъа	lem
чевирген	чевирген	lem
себеплер	себеплер	lem
эсасы	эсасы	lem
этник	этник	lem
кергинлик	кергинлик	lem
нетидже	нетидже	lem
конфликтлердир	конфликтлердир	lem
чакъларнынъ	чакъларнынъ	lem
ме	ме	lem
селелеринен	селелеринен	lem
огърашмакъ	огърашмакъ	lem
вазифеси	вазифеси	lem
юкледи	юкледи	lem
граждангъа	граждангъа	lem
менсюп	менсюп	lem
укъукълардан	укъукълардан	lem
имтиязлардан	имтиязлардан	lem
гражданлыгъы	гражданлыгъы	lem
алды	алды	lem
тедкъпкъ	тедкъпкъ	lem
ateş	ateş	lem
б	б	lem
ров	ров	lem
мовою	мовою	lem
уряду	уряду	lem
ш	ш	lem
этювде	этювде	lem
видання	видання	lem
виправлене	виправлене	lem
сприяе	сприяе	lem
виконанн	виконанн	lem
процедур	процедур	lem
ско	ско	lem
роченню	роченню	lem
шькост	шькост	lem
ос	ос	lem
висв	висв	lem
тленню	тленню	lem
переваг	переваг	lem
мадянства	мадянства	lem
урядами	урядами	lem
шими	шими	lem
орган	орган	lem
зац	зац	lem
ями	ями	lem
розвивае	розвивае	lem
дтримуе	дтримуе	lem
запоб	запоб	lem
ганню	ганню	lem
потенцмних	потенцмних	lem
тапсам	тапсам	lem
атарым	атарым	lem
нсе	нсе	lem
козьде	козьде	lem
insan	insan	lem
чином	чином	lem
чергу	чергу	lem
къадын	къадын	lem
чыкъып	чыкъып	lem
даних	даних	lem
шк	шк	lem
льних	льних	lem
книг	книг	lem
контекст	контекст	lem
проекту	проекту	lem
ак	ак	lem
тивнм	тивнм	lem
участ	участ	lem
учн	учн	lem
допоможе	допоможе	lem
змен	змен	lem
шенн	шенн	lem
прбяв	прбяв	lem
нетолерантност	нетолерантност	lem
першу	першу	lem
скоротить	скоротить	lem
можливють	можливють	lem
толерантно	толерантно	lem
проведений	проведений	lem
селям	селям	lem
qullanıla	qullanıla	lem
çoqqısımlı	çoqqısımlı	lem
тем	тем	lem
кедининъ	кедининъ	lem
эписи	эписи	lem
бириси	бириси	lem
татар	татар	lem
ачыкъ	ачыкъ	lem
змжами	змжами	lem
олмагьан	олмагьан	lem
кетип	кетип	lem
оныпъ	оныпъ	lem
ли	ли	lem
деде	деде	lem
авес	авес	lem
къокъусыны	къокъусыны	lem
богъдай	богъдай	lem
эссрлсршшпъ	эссрлсршшпъ	lem
лып	лып	lem
алыпмасы	алыпмасы	lem
нешмр	нешмр	lem
этплип	этплип	lem
ишлеиплип	ишлеиплип	lem
медеипе	медеипе	lem
тиие	тиие	lem
къошулмасы	къошулмасы	lem
заманлардап	заманлардап	lem
алимлорп	алимлорп	lem
эдебиятчылары	эдебиятчылары	lem
кярлары	кярлары	lem
сеяатяылар	сеяатяылар	lem
медениетпнен	медениетпнен	lem
джумледеп	джумледеп	lem
фольклорынеп	фольклорынеп	lem
якъыпдап	якъыпдап	lem
меракълана	меракълана	lem
асырда	асырда	lem
асырпыпъ	асырпыпъ	lem
бирипджп	бирипджп	lem
черигииде	черигииде	lem
джыпыи	джыпыи	lem
тыкълары	тыкълары	lem
ильмнн	ильмнн	lem
талапкъа	талапкъа	lem
бсрген	бсрген	lem
макъалелер	макъалелер	lem
сильтюв	сильтюв	lem
гражданлыкъкъа	гражданлыкъкъа	lem
девлет	девлет	lem
замаплардан	замаплардан	lem
ля	ля	lem
хусусан	хусусан	lem
эсаста	эсаста	lem
тедкъикъ	тедкъикъ	lem
къоюлды	къоюлды	lem
кърыл	кърыл	lem
иошир	иошир	lem
этгов	этгов	lem
ишлерн	ишлерн	lem
пикънлябын	пикънлябын	lem
илериледи	илериледи	lem
сепесп	сепесп	lem
тюииттифакъ	тюииттифакъ	lem
съезднпде	съезднпде	lem
иуткъын	иуткъын	lem
соиъ	соиъ	lem
саада	саада	lem
депъншмелор	депъншмелор	lem
тарнхнй	тарнхнй	lem
къарарларыидан	къарарларыидан	lem
эсерлерннп	эсерлерннп	lem
эсерлериии	эсерлериии	lem
чыиъджы	чыиъджы	lem
истпдатлы	истпдатлы	lem
кедаплар	кедаплар	lem
чечекленмеси	чечекленмеси	lem
шараитлар	шараитлар	lem
яратылды	яратылды	lem
зепгии	зепгии	lem
эдебпй	эдебпй	lem
мнрасиынъ	мнрасиынъ	lem
боюпджа	боюпджа	lem
купьде	купьде	lem
олувнынъ	олувнынъ	lem
устюнликлерини	устюнликлерини	lem
айдынла	айдынла	lem
р	р	lem
башладынъ	башладынъ	lem
лор	лор	lem
давет	давет	lem
адым	адым	lem
эльбетте	эльбетте	lem
къыйметц	къыйметц	lem
экснльмегеп	экснльмегеп	lem
джынынтыкълар	джынынтыкълар	lem
ламлар	ламлар	lem
иешнр	иешнр	lem
этильдн	этильдн	lem
тедкъпкъат	тедкъпкъат	lem
ншлерн	ншлерн	lem
кеипшледн	кеипшледн	lem
тув	тув	lem
тедбирлерни	тедбирлерни	lem
омюрге	омюрге	lem
учь	учь	lem
орденлн	орденлн	lem
адыпа	адыпа	lem
педагогика	педагогика	lem
нпстптуты	нпстптуты	lem
яныпда	яныпда	lem
кечирювде	кечирювде	lem
укюметине	укюметине	lem
яр	яр	lem
болюк	болюк	lem
болюги	болюги	lem
огрепюв	огрепюв	lem
дерсп	дерсп	lem
программагъа	программагъа	lem
кирсетильгеи	кирсетильгеи	lem
программа	программа	lem
пчюп	пчюп	lem
дым	дым	lem
тесир	тесир	lem
бо	бо	lem
къойып	къойып	lem
тошеббюс	тошеббюс	lem
дерслпк	дерслпк	lem
хрсстоматия	хрсстоматия	lem
гъап	гъап	lem
фольклоры	фольклоры	lem
кнтап	кнтап	lem
экн	экн	lem
болюктен	болюктен	lem
пба	пба	lem
рет	рет	lem
эдн	эдн	lem
бирппджиси	бирппджиси	lem
пазарий	пазарий	lem
курс	курс	lem
экпиджпси	экпиджпси	lem
хрестоматия	хрестоматия	lem
люги	люги	lem
вакътыпда	вакътыпда	lem
банрагъы	банрагъы	lem
му	му	lem
гъалпмп	гъалпмп	lem
газетасында	газетасында	lem
кптапкъа	кптапкъа	lem
кереклп	кереклп	lem
дореджеде	дореджеде	lem
кесильгец	кесильгец	lem
бедипй	бедипй	lem
нп	нп	lem
яратылгъан	яратылгъан	lem
терен	терен	lem
муджиби	муджиби	lem
тертип	тертип	lem
этиле	этиле	lem
китаппы	китаппы	lem
пешрпяттан	пешрпяттан	lem
къаиына	къаиына	lem
оп	оп	lem
йылдап	йылдап	lem
девнрде	девнрде	lem
муэллпф	муэллпф	lem
кптаппы	кптаппы	lem
мукеммеллешмесп	мукеммеллешмесп	lem
байымасы	байымасы	lem
терсплешмеси	терсплешмеси	lem
устюпдо	устюпдо	lem
токътамаи	токътамаи	lem
чалышты	чалышты	lem
этпльгеп	этпльгеп	lem
укюметлер	укюметлер	lem
тешкилятпар	тешкилятпар	lem
дигер	дигер	lem
эде	эде	lem
uça	uça	lem
данелерини	данелерини	lem
олунгъан	олунгъан	lem
эдебияты	эдебияты	lem
боджеклери	боджеклери	lem
болюгининъ	болюгининъ	lem
огюни	огюни	lem
такъдирде	такъдирде	lem
хрестоматиясы	хрестоматиясы	lem
къулланма	къулланма	lem
фолъклорнынъ	фолъклорнынъ	lem
амелий	амелий	lem
мешгъулиетлер	мешгъулиетлер	lem
программасы	программасы	lem
сечювде	сечювде	lem
гъаевийлигине	гъаевийлигине	lem
бедийлигине	бедийлигине	lem
буюкэмиет	буюкэмиет	lem
берилъди	берилъди	lem
ъ	ъ	lem
ихтималлы	ихтималлы	lem
конфликт	конфликт	lem
лернинъ	лернинъ	lem
фаали	фаали	lem
яхшы	яхшы	lem
кечкеп	кечкеп	lem
чантасына	чантасына	lem
анъдыра	анъдыра	lem
беш	беш	lem
чюнки	чюнки	lem
вакъытлар	вакъытлар	lem
озю	озю	lem
дестанларынен	дестанларынен	lem
башлана	башлана	lem
дестан	дестан	lem
хрестоматияларгъа	хрестоматияларгъа	lem
кирсетильмеди	кирсетильмеди	lem
такъдгш	такъдгш	lem
алынып	алынып	lem
таитана	таитана	lem
нинъ	нинъ	lem
къараманы	къараманы	lem
курешкен	курешкен	lem
къарамандыр	къарамандыр	lem
хрестоматиягъа	хрестоматиягъа	lem
кирсетилъген	кирсетилъген	lem
етни	етни	lem
кенишлете	кенишлете	lem
лаф	лаф	lem
эсерлернинъ	эсерлернинъ	lem
намлы	намлы	lem
шейге	шейге	lem
газетасы	газетасы	lem
батыр	батыр	lem
яишгъан	яишгъан	lem
къарттан	къарттан	lem
чобан	чобан	lem
язылып	язылып	lem
алынгъандыр	алынгъандыр	lem
фолъклоршынас	фолъклоршынас	lem
китабында	китабында	lem
нусхасыдыр	нусхасыдыр	lem
дестанны	дестанны	lem
азырлагъан	азырлагъан	lem
эм	эм	lem
гъайры	гъайры	lem
тасвпрлене	тасвпрлене	lem
чалышый	чалышый	lem
кирсетильген	кирсетильген	lem
байрагъы	байрагъы	lem
бирлик	бирлик	lem
этильген	этильген	lem
берилъген	берилъген	lem
алынды	алынды	lem
тирилик	тирилик	lem
ахай	ахай	lem
материаллардан	материаллардан	lem
файдаланылды	файдаланылды	lem
чантасыны	чантасыны	lem
ювасына	ювасына	lem
язып	язып	lem
саба	саба	lem
пджраджылар	пджраджылар	lem
онпап	онпап	lem
экеплер	экеплер	lem
ашайджагьыны	ашайджагьыны	lem
фаэтон	фаэтон	lem
къабугъыны	къабугъыны	lem
бор	бор	lem
нырпы	нырпы	lem
алгъапда	алгъапда	lem
фнкирге	фнкирге	lem
келюв	келюв	lem
анъ	анъ	lem
лашув	лашув	lem
бнрдемлнк	бнрдемлнк	lem
дер	дер	lem
чапа	чапа	lem
талебелернинъ	талебелернинъ	lem
мезкюр	мезкюр	lem
яратыла	яратыла	lem
тапмакъ	тапмакъ	lem
махсус	махсус	lem
черчивесинде	черчивесинде	lem
пчюи	пчюи	lem
сиикрстнк	сиикрстнк	lem
характернпи	характернпи	lem
ташын	ташын	lem
сезген	сезген	lem
джумыздыр	джумыздыр	lem
толерантлы	толерантлы	lem
адды	адды	lem
олгъанындан	олгъанындан	lem
